id_entrega,id_estudiante,fecha_subida,materia,tipo_proyecto,puntaje_obtenido,estado_entrega,campus_entrega,nombre_completo,fecha_nacimiento,carrera,campus_origen,tipo_beca,estado_academico,estudiante_identificado,puntaje_pendiente,anio_entrega,mes_entrega,aprobado,fecha_procesamiento
PRJ-1001,E001,2026-08-01,Sistemas de Bases de Datos,Modelado ER,95.5,Aprobado,Matriz,Mateo Alvarado,1998-05-12,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1002,E002,2026-08-02,Desarrollo de Software,Prototipo,88.0,Aprobado,Matriz,Camila Sánchez,2000-02-20,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1003,E003,2026-08-03,DataOps,Pipeline,92.0,Aprobado,Matriz,Santiago Ríos,1999-03-10,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1004,E006,2026-08-04,Sistemas de Bases de Datos,Script SQL,100.0,Aprobado,Matriz,Martina Vega,2000-06-18,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1005,E001,2026-08-05,Desarrollo de Software,API REST,85.0,Aprobado,Matriz,Mateo Alvarado,1998-05-12,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1006,E007,2026-08-05,DataOps,Pipeline,78.5,Aprobado,Matriz,Alejandro Mena,1999-07-22,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1007,E008,2026-08-06,Sistemas de Bases de Datos,Normalización,90.0,Aprobado,Matriz,Luciana Herrera,1998-08-30,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1008,E011,2026-08-07,Desarrollo de Software,Frontend,82.0,Aprobado,Matriz,Joaquín Salazar,1999-10-15,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1009,E002,2026-08-08,Sistemas de Bases de Datos,Script SQL,70.0,Revisión,Matriz,Camila Sánchez,2000-02-20,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,8,False,2026-08-18
PRJ-1010,E012,2026-08-09,DataOps,Deploy,65.0,Revisión,Matriz,Isabella Mora,2000-11-02,Ingeniería de Software,Matriz,Ninguna,Inactivo,True,False,2026,8,False,2026-08-18
PRJ-1011,E006,2026-08-10,Desarrollo de Software,Testing,98.0,Aprobado,Matriz,Martina Vega,2000-06-18,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1012,E013,2026-08-11,Sistemas de Bases de Datos,Modelado ER,91.0,Aprobado,Matriz,Matías Jaramillo,1998-11-20,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1013,E003,2026-08-12,Desarrollo de Software,API REST,89.5,Aprobado,Matriz,Santiago Ríos,1999-03-10,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1014,E007,2026-08-12,Sistemas de Bases de Datos,Script SQL,88.0,Aprobado,Matriz,Alejandro Mena,1999-07-22,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1015,E008,2026-08-13,DataOps,Pipeline,94.0,Aprobado,Matriz,Luciana Herrera,1998-08-30,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1016,E016,2026-08-14,Desarrollo de Software,Prototipo,81.0,Aprobado,Matriz,Emilia Bustamante,2000-01-08,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1017,E020,2026-08-14,Sistemas de Bases de Datos,Normalización,75.0,Revisión,Matriz,Daniela Vargas,2000-03-10,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,8,False,2026-08-18
PRJ-1018,E021,2026-08-15,DataOps,Deploy,100.0,Aprobado,Matriz,Tomás Aguirre,1998-03-22,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1019,E024,2026-08-15,Desarrollo de Software,Testing,92.0,Aprobado,Matriz,Mía Espinosa,2001-05-02,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1020,E025,2026-08-16,Sistemas de Bases de Datos,Script SQL,86.0,Aprobado,Matriz,Lucas Cordero,2000-05-20,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1021,E027,2026-08-17,DataOps,Pipeline,95.0,Aprobado,Matriz,Diego Narváez,2001-07-30,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1022,E028,2026-08-17,Desarrollo de Software,API REST,88.0,Aprobado,Matriz,Antonella Rivas,1999-08-15,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1023,E001,2026-08-18,DataOps,Deploy,97.0,Aprobado,Matriz,Mateo Alvarado,1998-05-12,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1024,E002,2026-08-18,Desarrollo de Software,Testing,84.0,Aprobado,Matriz,Camila Sánchez,2000-02-20,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1025,E003,2026-08-19,Sistemas de Bases de Datos,Normalización,,Pendiente,Matriz,Santiago Ríos,1999-03-10,Ciencias de Datos,Matriz,Ninguna,Activo,True,True,2026,8,False,2026-08-18
PRJ-1026,E006,2026-08-19,DataOps,Pipeline,91.0,Aprobado,Matriz,Martina Vega,2000-06-18,Ingeniería de Software,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1027,E007,2026-08-20,Desarrollo de Software,Prototipo,83.0,Aprobado,Matriz,Alejandro Mena,1999-07-22,Ingeniería de Software,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1028,E008,2026-08-20,Sistemas de Bases de Datos,Modelado ER,99.0,Aprobado,Matriz,Luciana Herrera,1998-08-30,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1029,E011,2026-08-21,DataOps,Deploy,87.0,Aprobado,Matriz,Joaquín Salazar,1999-10-15,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1030,E012,2026-08-21,Desarrollo de Software,API REST,72.0,Revisión,Matriz,Isabella Mora,2000-11-02,Ingeniería de Software,Matriz,Ninguna,Inactivo,True,False,2026,8,False,2026-08-18
PRJ-1031,E013,2026-08-22,Sistemas de Bases de Datos,Script SQL,94.0,Aprobado,Matriz,Matías Jaramillo,1998-11-20,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1032,E016,2026-08-22,DataOps,Pipeline,80.0,Aprobado,Matriz,Emilia Bustamante,2000-01-08,Ciencias de Datos,Matriz,Parcial,Activo,True,False,2026,8,True,2026-08-18
PRJ-1033,E020,2026-08-23,Desarrollo de Software,Testing,88.0,Aprobado,Matriz,Daniela Vargas,2000-03-10,Ingeniería de Software,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
PRJ-1034,E021,2026-08-23,Sistemas de Bases de Datos,Normalización,96.0,Aprobado,Matriz,Tomás Aguirre,1998-03-22,Ciencias de Datos,Matriz,Completa,Activo,True,False,2026,8,True,2026-08-18
PRJ-1035,E024,2026-08-24,DataOps,Deploy,90.0,Aprobado,Matriz,Mía Espinosa,2001-05-02,Ciencias de Datos,Matriz,Ninguna,Activo,True,False,2026,8,True,2026-08-18
